1	0.00
2	0.00
3	0.00
4	1.00
5	2.00
6	0.00
7	2.00
8	-1.00
9	2.00
10	-1.00
11	3.00
12	5.00
13	5.00
14	7.00
15	8.00
16	4.00
17	7.00
18	4.00
19	9.00
20	15.00
21	3.00
22	9.00
23	8.00
24	10.00
25	12.00
26	10.00
27	8.00
28	10.00
29	10.00
30	9.00
31	14.00
32	16.00
33	17.00
34	14.00
35	18.00
36	14.00
37	13.00
38	10.00
39	11.00
40	12.00
41	11.00
42	16.00
43	19.00
44	12.00
45	12.00
46	10.00
47	16.00
48	17.00
49	18.00
50	14.00
51	18.00
52	16.00
53	19.00
54	20.00
55	13.00
56	17.00
57	13.00
58	17.00
59	18.00
60	14.00
61	15.00
62	16.00
63	17.00
64	14.00
65	7.00
66	14.00
67	16.00
68	19.00
69	13.00
70	17.00
71	19.00
72	5.00
73	10.00
74	17.00
75	14.00
76	16.00
77	16.00
78	20.00
79	18.00
80	24.00
81	18.00
82	13.00
83	8.00
84	18.00
85	17.00
86	17.00
87	19.00
88	11.00
89	13.00
90	14.00
91	17.00
92	9.00
93	14.00
94	8.00
95	16.00
96	17.00
97	16.00
98	22.00
99	19.00
100	16.00
101	15.00
102	16.00
103	21.00
104	19.00
105	14.00
106	15.00
107	14.00
108	17.00
109	19.00
110	17.00
111	21.00
112	15.00
113	9.00
114	23.00
115	17.00
116	15.00
117	18.00
118	22.00
119	17.00
120	21.00
121	15.00
122	12.00
123	13.00
124	13.00
125	9.00
126	4.00
127	21.00
128	15.00
129	14.00
130	16.00
131	16.00
132	11.00
133	11.00
134	16.00
135	8.00
136	16.00
137	18.00
138	8.00
139	19.00
140	14.00
141	18.00
142	13.00
143	14.00
144	15.00
145	13.00
146	21.00
147	18.00
148	14.00
149	21.00
150	20.00
151	17.00
152	19.00
153	14.00
154	18.00
155	14.00
156	14.00
157	13.00
158	15.00
159	10.00
160	14.00
161	8.00
162	17.00
163	19.00
164	14.00
165	15.00
166	18.00
167	9.00
168	22.00
169	19.00
170	19.00
171	13.00
172	13.00
173	18.00
174	11.00
175	19.00
176	21.00
177	19.00
178	14.00
179	18.00
